NOMBRE,SITUACIóN,UBICACIóN,"ÁREA KM2","RECURSOS PROSPECTIVOS DE PETRóLEO CRUDO EQUIVALENTE EN PLAYS CONVENCIONALES (MMMBPCE)","RECURSOS PROSPECTIVOS DE PETRóLEO CRUDO EQUIVALENTE EN PLAYS NO CONVENCIONALES (MMMBPCE)","RECURSOS PROSPECTIVOS DE PETRóLEO EN PLAYS CONVENCIONALES (MMMB)","RECURSOS PROSPECTIVOS DE PETRóLEO EN PLAYS NO CONVENCIONALES (MMMB)","RECURSOS PROSPECTIVOS DE GAS NATURAL EN PLAYS CONVENCIONALES (MMMPC)","RECURSOS PROSPECTIVOS DE GAS NATURAL EN PLAYS NO CONVENCIONALES (MMMPC)",VERSIóN
"SABINAS - BURRO - PICACHOS",PRODUCTORAS,TERRESTRE,118334.66,0.4,14,0,0.6,2,67,2021
"GOLFO DE MEXICO PROFUNDO",PRODUCTORAS,"GOLFO PROFUNDO",497161.98,23.9,0,13.8,0,50.5,0,2021
TAMPICO-MISANTLA,PRODUCTORAS,TERRESTRE-PLATAFORMA,56936.9,2.3,38.9,1.4,34.8,4.7,20.7,2021
"PLATAFORMA DE YUCATAN","POTENCIAL MEDIO-BAJO",TERRESTRE-PLATAFORMA,322284.22,1.8,0,1.8,0,0.1,0,2021
"CUENCAS DEL SURESTE",PRODUCTORAS,TERRESTRE-PLATAFORMA,58469.17,14.5,0,13,0,7.2,0,2021
VERACRUZ,PRODUCTORAS,TERRESTRE-PLATAFORMA,32778.2,1.4,0.6,0.3,0.6,5.6,0,2021
"CINTURON PLEGADO DE CHIAPAS","POTENCIAL MEDIO-BAJO",TERRESTRE,59886.54,1.2,0,1.2,0,0,0,2021
BURGOS,PRODUCTORAS,TERRESTRE-PLATAFORMA,73803.41,3.2,10.8,0.6,0,13.2,53.8,2021
"GOLFO DE CALIFORNIA","POTENCIAL MEDIO-BAJO",MARINO-TERRESTRE,147701.12,0,0,0,0,0,0,2021
"VIZCAINO-LA PURISIMA-IRAY","POTENCIAL MEDIO-BAJO",TERRESTRE-MARINO,77334.02,0,0,0,0,0,0,2021
CHIHUAHUA,"POTENCIAL MEDIO-BAJO",TERRESTRE,115980.47,0,0,0,0,0,0,2021
"CINTURON PLEGADO DE LA SIERRA MADRE ORIENTAL","POTENCIAL MEDIO-BAJO",TERRESTRE,169644.38,0,0,0,0,0,0,2021
"CINTURON PLEGADO DE LA SIERRA MADRE ORIENTAL","POTENCIAL MEDIO-BAJO",TERRESTRE,11689.74,0,0,0,0,0,0,2021
